time,n,URef,J,KT,10KQ,eta0
1.20482e-05,2.515000e+01,-4.881229e+00,8.535771e-01,4.146149e+02,1.005826e+02,5.599962e+00
2.65769e-05,2.515000e+01,-4.887893e+00,8.547424e-01,5.667370e+00,8.393866e+00,9.184913e-01
4.39595e-05,2.515000e+01,-4.897410e+00,8.564066e-01,1.131424e+00,1.397278e+00,1.103678e+00
6.47429e-05,2.515000e+01,-4.903759e+00,8.575169e-01,6.408110e-01,9.503278e-01,9.202793e-01
8.87239e-05,2.515000e+01,-4.908511e+00,8.583479e-01,4.787839e-01,8.042956e-01,8.132184e-01
0.000116338,2.515000e+01,-4.912495e+00,8.590445e-01,3.936199e-01,7.125063e-01,7.553079e-01
0.000146809,2.515000e+01,-4.915958e+00,8.596502e-01,3.417348e-01,6.479723e-01,7.215635e-01
0.000178409,2.515000e+01,-4.918978e+00,8.601783e-01,3.082138e-01,6.036990e-01,6.989406e-01
0.000210009,2.515000e+01,-4.921663e+00,8.606478e-01,2.875565e-01,5.737216e-01,6.865426e-01
0.000241608,2.515000e+01,-4.924110e+00,8.610757e-01,2.752270e-01,5.558165e-01,6.786110e-01
0.000273208,2.515000e+01,-4.926449e+00,8.614847e-01,2.705415e-01,5.468431e-01,6.783269e-01
0.000303491,2.515000e+01,-4.928580e+00,8.618573e-01,2.693421e-01,5.477472e-01,6.744963e-01
0.000333774,2.515000e+01,-4.930566e+00,8.622047e-01,2.687851e-01,5.502244e-01,6.703414e-01
0.000364057,2.515000e+01,-4.932414e+00,8.625278e-01,2.696619e-01,5.556106e-01,6.662578e-01
0.00039434,2.515000e+01,-4.934142e+00,8.628299e-01,2.703559e-01,5.601228e-01,6.628237e-01
0.000424623,2.515000e+01,-4.935796e+00,8.631192e-01,2.726160e-01,5.655949e-01,6.621204e-01
0.000454906,2.515000e+01,-4.937356e+00,8.633920e-01,2.747794e-01,5.726148e-01,6.594013e-01
0.000485189,2.515000e+01,-4.938833e+00,8.636503e-01,2.773589e-01,5.798333e-01,6.575019e-01
0.000515472,2.515000e+01,-4.940318e+00,8.639100e-01,2.813234e-01,5.850705e-01,6.611290e-01
0.000545755,2.515000e+01,-4.941773e+00,8.641644e-01,2.841061e-01,5.899255e-01,6.623686e-01
0.000576038,2.515000e+01,-4.943170e+00,8.644087e-01,2.856080e-01,5.941665e-01,6.613045e-01
0.000606321,2.515000e+01,-4.944458e+00,8.646340e-01,2.858434e-01,5.993000e-01,6.563515e-01
0.000636604,2.515000e+01,-4.945713e+00,8.648533e-01,2.873747e-01,6.029034e-01,6.560898e-01
0.000666887,2.515000e+01,-4.946934e+00,8.650669e-01,2.890773e-01,6.065248e-01,6.561984e-01
0.00069717,2.515000e+01,-4.948115e+00,8.652733e-01,2.900750e-01,6.093174e-01,6.556015e-01
0.000727453,2.515000e+01,-4.949241e+00,8.654704e-01,2.911556e-01,6.129782e-01,6.542633e-01
0.000757736,2.515000e+01,-4.950350e+00,8.656642e-01,2.923457e-01,6.151001e-01,6.548176e-01
0.000788019,2.515000e+01,-4.951444e+00,8.658554e-01,2.934918e-01,6.172335e-01,6.552575e-01
0.000818302,2.515000e+01,-4.952477e+00,8.660362e-01,2.936272e-01,6.198508e-01,6.529282e-01
0.000848585,2.515000e+01,-4.953464e+00,8.662089e-01,2.939235e-01,6.220406e-01,6.514159e-01
0.000878868,2.515000e+01,-4.954445e+00,8.663803e-01,2.949673e-01,6.233574e-01,6.524776e-01
0.000909151,2.515000e+01,-4.955412e+00,8.665494e-01,2.957299e-01,6.247389e-01,6.528453e-01
0.000939434,2.515000e+01,-4.956364e+00,8.667159e-01,2.963666e-01,6.261373e-01,6.529151e-01
0.000969717,2.515000e+01,-4.957275e+00,8.668752e-01,2.963896e-01,6.277448e-01,6.514133e-01
0.001,2.515000e+01,-4.958138e+00,8.670262e-01,2.960760e-01,6.290890e-01,6.494469e-01
0.0010303,2.515000e+01,-4.958978e+00,8.671730e-01,2.961331e-01,6.298750e-01,6.488709e-01
0.00106061,2.515000e+01,-4.959787e+00,8.673145e-01,2.961838e-01,6.308602e-01,6.480747e-01
0.00109091,2.515000e+01,-4.960598e+00,8.674564e-01,2.970647e-01,6.316705e-01,6.492743e-01
0.00112121,2.515000e+01,-4.961425e+00,8.676009e-01,2.982860e-01,6.324644e-01,6.512337e-01
0.00115152,2.515000e+01,-4.962207e+00,8.677377e-01,2.980321e-01,6.339913e-01,6.492146e-01
0.00118182,2.515000e+01,-4.962950e+00,8.678676e-01,2.977014e-01,6.351323e-01,6.474266e-01
0.00121212,2.515000e+01,-4.963664e+00,8.679925e-01,2.972385e-01,6.352644e-01,6.463781e-01
0.00124242,2.515000e+01,-4.964381e+00,8.681178e-01,2.974382e-01,6.349912e-01,6.471841e-01
0.00127273,2.515000e+01,-4.965091e+00,8.682420e-01,2.977294e-01,6.354171e-01,6.474763e-01
0.00130303,2.515000e+01,-4.965785e+00,8.683633e-01,2.979498e-01,6.362242e-01,6.472236e-01
0.00133333,2.515000e+01,-4.966445e+00,8.684788e-01,2.979605e-01,6.373815e-01,6.461580e-01
0.00136364,2.515000e+01,-4.967091e+00,8.685918e-01,2.977795e-01,6.373873e-01,6.458434e-01
0.00139394,2.515000e+01,-4.967728e+00,8.687032e-01,2.975895e-01,6.371077e-01,6.457971e-01
0.00142424,2.515000e+01,-4.968347e+00,8.688113e-01,2.975344e-01,6.376743e-01,6.451841e-01
0.00145455,2.515000e+01,-4.968953e+00,8.689174e-01,2.976617e-01,6.381950e-01,6.450125e-01
0.00148485,2.515000e+01,-4.969550e+00,8.690216e-01,2.977955e-01,6.385888e-01,6.449822e-01
0.00151515,2.515000e+01,-4.970113e+00,8.691201e-01,2.973030e-01,6.392090e-01,6.433631e-01
0.00154545,2.515000e+01,-4.970670e+00,8.692177e-01,2.971777e-01,6.389779e-01,6.433972e-01
0.00157576,2.515000e+01,-4.971233e+00,8.693160e-01,2.970037e-01,6.381539e-01,6.439234e-01
0.00160606,2.515000e+01,-4.971805e+00,8.694160e-01,2.969817e-01,6.373141e-01,6.447984e-01
0.00163636,2.515000e+01,-4.972357e+00,8.695126e-01,2.968405e-01,6.378317e-01,6.440401e-01
0.00166667,2.515000e+01,-4.972864e+00,8.696013e-01,2.962236e-01,6.388484e-01,6.417446e-01
0.00169697,2.515000e+01,-4.973354e+00,8.696870e-01,2.962898e-01,6.395718e-01,6.412249e-01
0.00172727,2.515000e+01,-4.973846e+00,8.697729e-01,2.963510e-01,6.393944e-01,6.415989e-01
0.00175758,2.515000e+01,-4.974331e+00,8.698578e-01,2.961984e-01,6.392327e-01,6.414932e-01
0.00178788,2.515000e+01,-4.974823e+00,8.699439e-01,2.965475e-01,6.393517e-01,6.421932e-01
0.00181818,2.515000e+01,-4.975323e+00,8.700313e-01,2.967013e-01,6.389926e-01,6.429519e-01
0.00184848,2.515000e+01,-4.975806e+00,8.701158e-01,2.965094e-01,6.393344e-01,6.422550e-01
0.00187879,2.515000e+01,-4.976263e+00,8.701956e-01,2.960926e-01,6.399161e-01,6.408278e-01
0.00190909,2.515000e+01,-4.976707e+00,8.702733e-01,2.957221e-01,6.397540e-01,6.402456e-01
0.00193939,2.515000e+01,-4.977143e+00,8.703495e-01,2.954536e-01,6.396197e-01,6.398543e-01
0.0019697,2.515000e+01,-4.977584e+00,8.704265e-01,2.953493e-01,6.390216e-01,6.402841e-01
0.002,2.515000e+01,-4.977997e+00,8.704988e-01,2.948186e-01,6.393965e-01,6.388115e-01
0.0020303,2.515000e+01,-4.978396e+00,8.705687e-01,2.948671e-01,6.401841e-01,6.381821e-01
0.00206061,2.515000e+01,-4.978797e+00,8.706387e-01,2.949318e-01,6.401136e-01,6.384439e-01
0.00209091,2.515000e+01,-4.979195e+00,8.707082e-01,2.948566e-01,6.400604e-01,6.383852e-01
0.00212121,2.515000e+01,-4.979599e+00,8.707789e-01,2.947000e-01,6.394328e-01,6.387237e-01
0.00215152,2.515000e+01,-4.980006e+00,8.708501e-01,2.945863e-01,6.388821e-01,6.390801e-01
0.00218182,2.515000e+01,-4.980397e+00,8.709185e-01,2.940447e-01,6.386157e-01,6.382215e-01
0.00221212,2.515000e+01,-4.980786e+00,8.709865e-01,2.941473e-01,6.388810e-01,6.382286e-01
0.00224242,2.515000e+01,-4.981151e+00,8.710504e-01,2.937481e-01,6.394749e-01,6.368176e-01
0.00227273,2.515000e+01,-4.981507e+00,8.711127e-01,2.937939e-01,6.400478e-01,6.363920e-01
0.00230303,2.515000e+01,-4.981854e+00,8.711733e-01,2.933145e-01,6.395729e-01,6.358700e-01
0.00233333,2.515000e+01,-4.982184e+00,8.712310e-01,2.929312e-01,6.396571e-01,6.349973e-01
0.00236364,2.515000e+01,-4.982518e+00,8.712894e-01,2.930628e-01,6.396355e-01,6.353465e-01
0.00239394,2.515000e+01,-4.982887e+00,8.713540e-01,2.936170e-01,6.387336e-01,6.374942e-01
0.00242424,2.515000e+01,-4.983271e+00,8.714211e-01,2.939177e-01,6.384693e-01,6.384606e-01
0.00245455,2.515000e+01,-4.983635e+00,8.714847e-01,2.934528e-01,6.387241e-01,6.372428e-01
0.00248485,2.515000e+01,-4.983954e+00,8.715406e-01,2.925432e-01,6.395560e-01,6.344817e-01
0.00251515,2.515000e+01,-4.984253e+00,8.715929e-01,2.920259e-01,6.396281e-01,6.333264e-01
0.00254545,2.515000e+01,-4.984566e+00,8.716476e-01,2.921466e-01,6.390785e-01,6.341728e-01
0.00257576,2.515000e+01,-4.984893e+00,8.717048e-01,2.921740e-01,6.384045e-01,6.349435e-01
0.00260606,2.515000e+01,-4.985205e+00,8.717593e-01,2.919607e-01,6.388273e-01,6.340996e-01
0.00263636,2.515000e+01,-4.985510e+00,8.718128e-01,2.920462e-01,6.393675e-01,6.337886e-01
0.00266667,2.515000e+01,-4.985805e+00,8.718642e-01,2.914962e-01,6.389553e-01,6.330403e-01
0.00269697,2.515000e+01,-4.986089e+00,8.719140e-01,2.912512e-01,6.390448e-01,6.324560e-01
0.00272727,2.515000e+01,-4.986383e+00,8.719652e-01,2.910715e-01,6.383271e-01,6.328136e-01
0.00275758,2.515000e+01,-4.986707e+00,8.720219e-01,2.914797e-01,6.372752e-01,6.347881e-01
0.00278788,2.515000e+01,-4.987038e+00,8.720798e-01,2.914624e-01,6.369477e-01,6.351193e-01
0.00281818,2.515000e+01,-4.987352e+00,8.721348e-01,2.911622e-01,6.373957e-01,6.340587e-01
0.00284848,2.515000e+01,-4.987589e+00,8.721763e-01,2.896594e-01,6.388536e-01,6.293768e-01
0.00287879,2.515000e+01,-4.987817e+00,8.722160e-01,2.894134e-01,6.389416e-01,6.287842e-01
0.00290909,2.515000e+01,-4.988079e+00,8.722620e-01,2.899034e-01,6.381360e-01,6.306771e-01
0.00293939,2.515000e+01,-4.988364e+00,8.723117e-01,2.900541e-01,6.372136e-01,6.319546e-01
0.0029697,2.515000e+01,-4.988650e+00,8.723616e-01,2.899550e-01,6.370251e-01,6.319617e-01
0.003,2.515000e+01,-4.988925e+00,8.724098e-01,2.895505e-01,6.367487e-01,6.313891e-01
0.00303125,2.515000e+01,-4.989186e+00,8.724554e-01,2.891921e-01,6.366971e-01,6.306915e-01
0.0030625,2.515000e+01,-4.989457e+00,8.725028e-01,2.896487e-01,6.375000e-01,6.309257e-01
0.00309375,2.515000e+01,-4.989729e+00,8.725505e-01,2.894172e-01,6.372525e-01,6.307009e-01
0.003125,2.515000e+01,-4.990012e+00,8.726000e-01,2.889797e-01,6.359305e-01,6.310927e-01
0.00315625,2.515000e+01,-4.990274e+00,8.726457e-01,2.880705e-01,6.352897e-01,6.297743e-01
0.0031875,2.515000e+01,-4.990511e+00,8.726872e-01,2.873774e-01,6.354061e-01,6.281739e-01
0.00321875,2.515000e+01,-4.990749e+00,8.727288e-01,2.876043e-01,6.360489e-01,6.280646e-01
0.00325,2.515000e+01,-4.990999e+00,8.727726e-01,2.879190e-01,6.361605e-01,6.286729e-01
0.00328125,2.515000e+01,-4.991250e+00,8.728164e-01,2.876544e-01,6.356798e-01,6.286018e-01
0.0033125,2.515000e+01,-4.991506e+00,8.728612e-01,2.876816e-01,6.355308e-01,6.288410e-01
0.00334375,2.515000e+01,-4.991777e+00,8.729085e-01,2.876224e-01,6.346068e-01,6.296608e-01
0.003375,2.515000e+01,-4.992041e+00,8.729548e-01,2.870841e-01,6.339350e-01,6.291820e-01
0.00340625,2.515000e+01,-4.992305e+00,8.730009e-01,2.868203e-01,6.336307e-01,6.289392e-01
0.0034375,2.515000e+01,-4.992526e+00,8.730396e-01,2.859088e-01,6.345552e-01,6.260548e-01
0.00346875,2.515000e+01,-4.992755e+00,8.730795e-01,2.860055e-01,6.345405e-01,6.263096e-01
0.0035,2.515000e+01,-4.992995e+00,8.731215e-01,2.859356e-01,6.338444e-01,6.268742e-01
0.00353125,2.515000e+01,-4.993208e+00,8.731588e-01,2.849277e-01,6.332895e-01,6.252387e-01
0.0035625,2.515000e+01,-4.993410e+00,8.731941e-01,2.844197e-01,6.330225e-01,6.244125e-01
0.00359375,2.515000e+01,-4.993645e+00,8.732352e-01,2.852970e-01,6.331315e-01,6.262598e-01
0.003625,2.515000e+01,-4.993891e+00,8.732783e-01,2.850604e-01,6.322186e-01,6.266751e-01
0.00365625,2.515000e+01,-4.994126e+00,8.733193e-01,2.842658e-01,6.315536e-01,6.256155e-01
0.0036875,2.515000e+01,-4.994318e+00,8.733529e-01,2.831447e-01,6.316799e-01,6.230477e-01
0.00371875,2.515000e+01,-4.994530e+00,8.733899e-01,2.835249e-01,6.312893e-01,6.242970e-01
0.00375,2.515000e+01,-4.994788e+00,8.734350e-01,2.845520e-01,6.310213e-01,6.268566e-01
0.00378125,2.515000e+01,-4.995035e+00,8.734783e-01,2.839498e-01,6.305627e-01,6.260164e-01
0.0038125,2.515000e+01,-4.995240e+00,8.735141e-01,2.826987e-01,6.307859e-01,6.230627e-01
0.00384375,2.515000e+01,-4.995441e+00,8.735492e-01,2.823113e-01,6.303542e-01,6.226603e-01
0.003875,2.515000e+01,-4.995655e+00,8.735867e-01,2.820464e-01,6.291400e-01,6.233032e-01
0.00390625,2.515000e+01,-4.995891e+00,8.736279e-01,2.823099e-01,6.286172e-01,6.244340e-01
0.0039375,2.515000e+01,-4.996109e+00,8.736661e-01,2.821000e-01,6.291027e-01,6.235154e-01
0.00396875,2.515000e+01,-4.996337e+00,8.737059e-01,2.820169e-01,6.285472e-01,6.239108e-01
0.004,2.515000e+01,-4.996574e+00,8.737473e-01,2.818640e-01,6.279438e-01,6.242015e-01
0.00403125,2.515000e+01,-4.996758e+00,8.737795e-01,2.802159e-01,6.278227e-01,6.206945e-01
0.0040625,2.515000e+01,-4.996933e+00,8.738100e-01,2.796155e-01,6.273094e-01,6.198931e-01
0.00409375,2.515000e+01,-4.997124e+00,8.738436e-01,2.797556e-01,6.267734e-01,6.207578e-01
0.004125,2.515000e+01,-4.997341e+00,8.738816e-01,2.803034e-01,6.265654e-01,6.222065e-01
0.00415625,2.515000e+01,-4.997570e+00,8.739216e-01,2.802113e-01,6.259346e-01,6.226575e-01
0.0041875,2.515000e+01,-4.997756e+00,8.739541e-01,2.791613e-01,6.263322e-01,6.199538e-01
0.00421875,2.515000e+01,-4.997934e+00,8.739853e-01,2.785322e-01,6.256082e-01,6.192945e-01
0.00425,2.515000e+01,-4.998138e+00,8.740210e-01,2.786924e-01,6.245736e-01,6.207024e-01
0.00428125,2.515000e+01,-4.998359e+00,8.740596e-01,2.788730e-01,6.241919e-01,6.215121e-01
0.0043125,2.515000e+01,-4.998579e+00,8.740980e-01,2.784315e-01,6.234827e-01,6.212612e-01
0.00434375,2.515000e+01,-4.998777e+00,8.741327e-01,2.775926e-01,6.230609e-01,6.198332e-01
0.004375,2.515000e+01,-4.998964e+00,8.741654e-01,2.772698e-01,6.231325e-01,6.190643e-01
0.00440625,2.515000e+01,-4.999128e+00,8.741941e-01,2.764975e-01,6.233068e-01,6.171875e-01
0.0044375,2.515000e+01,-4.999317e+00,8.742271e-01,2.766932e-01,6.224839e-01,6.184645e-01
0.00446875,2.515000e+01,-4.999513e+00,8.742613e-01,2.764891e-01,6.217715e-01,6.187406e-01
0.0045,2.515000e+01,-4.999734e+00,8.743000e-01,2.768738e-01,6.212597e-01,6.201391e-01
0.00453125,2.515000e+01,-4.999947e+00,8.743373e-01,2.765635e-01,6.212197e-01,6.195103e-01
0.0045625,2.515000e+01,-5.000139e+00,8.743707e-01,2.758133e-01,6.210112e-01,6.180613e-01
0.00459375,2.515000e+01,-5.000340e+00,8.744059e-01,2.757643e-01,6.205010e-01,6.184846e-01
0.004625,2.515000e+01,-5.000539e+00,8.744407e-01,2.752931e-01,6.198555e-01,6.180951e-01
0.00465625,2.515000e+01,-5.000747e+00,8.744772e-01,2.750103e-01,6.189952e-01,6.183441e-01
0.0046875,2.515000e+01,-5.000960e+00,8.745143e-01,2.747175e-01,6.182207e-01,6.184859e-01
0.00471875,2.515000e+01,-5.001115e+00,8.745414e-01,2.730506e-01,6.181786e-01,6.147941e-01
0.00475,2.515000e+01,-5.001270e+00,8.745685e-01,2.729543e-01,6.181681e-01,6.146069e-01
0.00478125,2.515000e+01,-5.001429e+00,8.745963e-01,2.730465e-01,6.184129e-01,6.145905e-01
0.0048125,2.515000e+01,-5.001615e+00,8.746289e-01,2.732791e-01,6.175905e-01,6.159560e-01
0.00484375,2.515000e+01,-5.001825e+00,8.746657e-01,2.734463e-01,6.164469e-01,6.175023e-01
0.004875,2.515000e+01,-5.002019e+00,8.746995e-01,2.726876e-01,6.159936e-01,6.162658e-01
0.00490625,2.515000e+01,-5.002211e+00,8.747331e-01,2.723421e-01,6.156434e-01,6.158589e-01
0.0049375,2.515000e+01,-5.002399e+00,8.747661e-01,2.721592e-01,6.156298e-01,6.154822e-01
0.00496875,2.515000e+01,-5.002590e+00,8.747994e-01,2.718097e-01,6.150559e-01,6.152888e-01
0.005,2.515000e+01,-5.002775e+00,8.748319e-01,2.715226e-01,6.149311e-01,6.147863e-01
0.00503125,2.515000e+01,-5.002975e+00,8.748667e-01,2.714101e-01,6.140860e-01,6.154020e-01
0.0050625,2.515000e+01,-5.003165e+00,8.748999e-01,2.707970e-01,6.133715e-01,6.147502e-01
0.00509375,2.515000e+01,-5.003340e+00,8.749306e-01,2.700359e-01,6.127640e-01,6.136520e-01
0.005125,2.515000e+01,-5.003505e+00,8.749594e-01,2.695212e-01,6.126081e-01,6.126579e-01
0.00515625,2.515000e+01,-5.003693e+00,8.749923e-01,2.700389e-01,6.124733e-01,6.139930e-01
0.0051875,2.515000e+01,-5.003893e+00,8.750273e-01,2.703083e-01,6.123638e-01,6.147402e-01
0.00521875,2.515000e+01,-5.004078e+00,8.750597e-01,2.695208e-01,6.116241e-01,6.137130e-01
0.00525,2.515000e+01,-5.004250e+00,8.750898e-01,2.686419e-01,6.107279e-01,6.126303e-01
0.00528125,2.515000e+01,-5.004421e+00,8.751197e-01,2.680872e-01,6.100008e-01,6.121151e-01
0.0053125,2.515000e+01,-5.004602e+00,8.751512e-01,2.680787e-01,6.097139e-01,6.124060e-01
0.00534375,2.515000e+01,-5.004797e+00,8.751853e-01,2.683038e-01,6.094617e-01,6.131980e-01
0.005375,2.515000e+01,-5.004986e+00,8.752184e-01,2.681780e-01,6.096670e-01,6.127274e-01
0.00540625,2.515000e+01,-5.005179e+00,8.752521e-01,2.679414e-01,6.091347e-01,6.127448e-01
0.0054375,2.515000e+01,-5.005366e+00,8.752848e-01,2.672546e-01,6.082281e-01,6.121085e-01
0.00546875,2.515000e+01,-5.005538e+00,8.753149e-01,2.664015e-01,6.074894e-01,6.109177e-01
0.0055,2.515000e+01,-5.005719e+00,8.753466e-01,2.663501e-01,6.070176e-01,6.112962e-01
0.00553125,2.515000e+01,-5.005911e+00,8.753801e-01,2.667145e-01,6.071250e-01,6.120480e-01
0.0055625,2.515000e+01,-5.006113e+00,8.754155e-01,2.667808e-01,6.067917e-01,6.125609e-01
0.00559375,2.515000e+01,-5.006274e+00,8.754436e-01,2.654001e-01,6.066001e-01,6.096028e-01
0.005625,2.515000e+01,-5.006437e+00,8.754721e-01,2.645962e-01,6.051727e-01,6.092095e-01
0.00565625,2.515000e+01,-5.006601e+00,8.755008e-01,2.641454e-01,6.044435e-01,6.089254e-01
0.0056875,2.515000e+01,-5.006788e+00,8.755334e-01,2.647181e-01,6.043508e-01,6.103620e-01
0.00571875,2.515000e+01,-5.006969e+00,8.755652e-01,2.646117e-01,6.045362e-01,6.099516e-01
0.00575,2.515000e+01,-5.007158e+00,8.755983e-01,2.647838e-01,6.043361e-01,6.105733e-01
0.00578125,2.515000e+01,-5.007356e+00,8.756329e-01,2.647142e-01,6.039317e-01,6.108458e-01
0.0058125,2.515000e+01,-5.007542e+00,8.756654e-01,2.637474e-01,6.030056e-01,6.095719e-01
0.00584375,2.515000e+01,-5.007725e+00,8.756973e-01,2.633370e-01,6.025123e-01,6.091446e-01
0.005875,2.515000e+01,-5.007908e+00,8.757293e-01,2.631896e-01,6.020989e-01,6.092432e-01
0.00590625,2.515000e+01,-5.008099e+00,8.757627e-01,2.631356e-01,6.016167e-01,6.096299e-01
0.0059375,2.515000e+01,-5.008292e+00,8.757964e-01,2.630015e-01,6.014171e-01,6.095449e-01
0.00596875,2.515000e+01,-5.008454e+00,8.758249e-01,2.616534e-01,6.008532e-01,6.070093e-01
0.006,2.515000e+01,-5.008631e+00,8.758558e-01,2.617044e-01,6.003088e-01,6.076997e-01
0.00603226,2.515000e+01,-5.008816e+00,8.758881e-01,2.616792e-01,5.995417e-01,6.084414e-01
0.00606452,2.515000e+01,-5.009013e+00,8.759226e-01,2.618324e-01,5.993637e-01,6.090021e-01
0.00609677,2.515000e+01,-5.009209e+00,8.759569e-01,2.615421e-01,5.990289e-01,6.086907e-01
0.00612903,2.515000e+01,-5.009399e+00,8.759901e-01,2.612392e-01,5.989499e-01,6.080891e-01
0.00616129,2.515000e+01,-5.009588e+00,8.760231e-01,2.609201e-01,5.985676e-01,6.077572e-01
0.00619355,2.515000e+01,-5.009761e+00,8.760534e-01,2.600649e-01,5.980111e-01,6.063497e-01
0.00622581,2.515000e+01,-5.009944e+00,8.760854e-01,2.599816e-01,5.974693e-01,6.067274e-01
0.00625806,2.515000e+01,-5.010134e+00,8.761186e-01,2.600445e-01,5.970292e-01,6.073445e-01
0.00629032,2.515000e+01,-5.010322e+00,8.761514e-01,2.596238e-01,5.964932e-01,6.069297e-01
0.00632258,2.515000e+01,-5.010509e+00,8.761842e-01,2.590566e-01,5.957750e-01,6.063564e-01
0.00635484,2.515000e+01,-5.010696e+00,8.762169e-01,2.589828e-01,5.957313e-01,6.062506e-01
0.0063871,2.515000e+01,-5.010892e+00,8.762513e-01,2.592249e-01,5.957145e-01,6.068585e-01
0.00641935,2.515000e+01,-5.011082e+00,8.762845e-01,2.590235e-01,5.954886e-01,6.066400e-01
0.00645161,2.515000e+01,-5.011274e+00,8.763180e-01,2.587739e-01,5.951453e-01,6.064281e-01
0.00648387,2.515000e+01,-5.011470e+00,8.763522e-01,2.582376e-01,5.941986e-01,6.061592e-01
0.00651613,2.515000e+01,-5.011664e+00,8.763862e-01,2.581564e-01,5.941349e-01,6.060570e-01
0.00654839,2.515000e+01,-5.011848e+00,8.764183e-01,2.573465e-01,5.932799e-01,6.050484e-01
0.00658065,2.515000e+01,-5.012038e+00,8.764516e-01,2.569685e-01,5.923490e-01,6.051320e-01
0.0066129,2.515000e+01,-5.012229e+00,8.764851e-01,2.568450e-01,5.922595e-01,6.049557e-01
0.00664516,2.515000e+01,-5.012422e+00,8.765187e-01,2.570178e-01,5.924211e-01,6.052212e-01
0.00667742,2.515000e+01,-5.012617e+00,8.765529e-01,2.571192e-01,5.925454e-01,6.053562e-01
0.00670968,2.515000e+01,-5.012809e+00,8.765864e-01,2.567584e-01,5.920968e-01,6.049879e-01
0.00674194,2.515000e+01,-5.012998e+00,8.766195e-01,2.563314e-01,5.914397e-01,6.046756e-01
0.00677419,2.515000e+01,-5.013180e+00,8.766512e-01,2.556829e-01,5.906673e-01,6.039565e-01
0.00680645,2.515000e+01,-5.013360e+00,8.766828e-01,2.549561e-01,5.896101e-01,6.033411e-01
0.00683871,2.515000e+01,-5.013543e+00,8.767147e-01,2.550583e-01,5.897991e-01,6.034119e-01
0.00687097,2.515000e+01,-5.013731e+00,8.767477e-01,2.553276e-01,5.900002e-01,6.038656e-01
0.00690323,2.515000e+01,-5.013928e+00,8.767821e-01,2.556647e-01,5.902140e-01,6.044674e-01
0.00693548,2.515000e+01,-5.014123e+00,8.768161e-01,2.551371e-01,5.894579e-01,6.040175e-01
0.00696774,2.515000e+01,-5.014321e+00,8.768508e-01,2.547054e-01,5.885971e-01,6.039009e-01
0.007,2.515000e+01,-5.014518e+00,8.768852e-01,2.543677e-01,5.881143e-01,6.036192e-01
0.00703226,2.515000e+01,-5.014708e+00,8.769184e-01,2.540819e-01,5.878547e-01,6.032302e-01
0.00706452,2.515000e+01,-5.014897e+00,8.769516e-01,2.540805e-01,5.878768e-01,6.032268e-01
0.00709677,2.515000e+01,-5.015087e+00,8.769847e-01,2.541168e-01,5.879163e-01,6.032954e-01
0.00712903,2.515000e+01,-5.015282e+00,8.770189e-01,2.537976e-01,5.871323e-01,6.033659e-01
0.00716129,2.515000e+01,-5.015498e+00,8.770565e-01,2.530987e-01,5.853011e-01,6.036124e-01
0.00719355,2.515000e+01,-5.015705e+00,8.770929e-01,2.527167e-01,5.850821e-01,6.029521e-01
0.00722581,2.515000e+01,-5.015887e+00,8.771247e-01,2.522861e-01,5.854096e-01,6.016099e-01
0.00725806,2.515000e+01,-5.016067e+00,8.771560e-01,2.526094e-01,5.859745e-01,6.018212e-01
0.00729032,2.515000e+01,-5.016250e+00,8.771881e-01,2.524924e-01,5.856834e-01,6.018640e-01
0.00732258,2.515000e+01,-5.016453e+00,8.772237e-01,2.526105e-01,5.850710e-01,6.027999e-01
0.00735484,2.515000e+01,-5.016663e+00,8.772604e-01,2.524660e-01,5.844987e-01,6.030707e-01
0.0073871,2.515000e+01,-5.016860e+00,8.772948e-01,2.517058e-01,5.838427e-01,6.019540e-01
0.00741935,2.515000e+01,-5.017053e+00,8.773285e-01,2.514588e-01,5.835994e-01,6.016365e-01
0.00745161,2.515000e+01,-5.017231e+00,8.773596e-01,2.510499e-01,5.835026e-01,6.007795e-01
0.00748387,2.515000e+01,-5.017421e+00,8.773928e-01,2.511127e-01,5.830861e-01,6.013818e-01
0.00751613,2.515000e+01,-5.017624e+00,8.774284e-01,2.510157e-01,5.825770e-01,6.016993e-01
0.00754839,2.515000e+01,-5.017835e+00,8.774653e-01,2.508669e-01,5.821726e-01,6.017854e-01
0.00758065,2.515000e+01,-5.018040e+00,8.775011e-01,2.506710e-01,5.820036e-01,6.015146e-01
0.0076129,2.515000e+01,-5.018227e+00,8.775338e-01,2.506199e-01,5.824938e-01,6.009087e-01
0.00764516,2.515000e+01,-5.018421e+00,8.775678e-01,2.504242e-01,5.818014e-01,6.011769e-01
0.00767742,2.515000e+01,-5.018618e+00,8.776023e-01,2.501806e-01,5.813486e-01,6.010838e-01
0.00770968,2.515000e+01,-5.018815e+00,8.776366e-01,2.499520e-01,5.809611e-01,6.009583e-01
0.00774194,2.515000e+01,-5.019025e+00,8.776734e-01,2.496989e-01,5.799233e-01,6.014493e-01
0.00777419,2.515000e+01,-5.019246e+00,8.777120e-01,2.493443e-01,5.789166e-01,6.016663e-01
0.00780645,2.515000e+01,-5.019454e+00,8.777483e-01,2.488190e-01,5.787266e-01,6.006203e-01
0.00783871,2.515000e+01,-5.019650e+00,8.777827e-01,2.486616e-01,5.788656e-01,6.001204e-01
